Agibarion,7,50,1 (E_SKILL_TYPE_MAGIC_ATK),1 (Fire),32 (Invalid),32 (Invalid),32 (Invalid),,1 (E_SKILL_TEKISEI_CATEGORY_FIRE),1 (Damage),2 (Affliction),5 (CostAttacking),0 (1 foe),2 (E_SKILL_ENABLE_SCENE_BATTLE),1,1,,265,100,100,98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,24,TRUE,TRUE,,,,3698,,,,,,,,,,,,,,FALSE,FALSE,,,sk_103,3 (E_SKILL_HIT_STAMP_TYPE_FIRE),9,6720,1 (E_SKILL_ICON_FIRE),13 (E_SKILL_TEKISEI_CATEGORY_INVALID),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,1 (Fire),23,,,,,,,
Trisagion,8,65,1 (E_SKILL_TYPE_MAGIC_ATK),1 (Fire),32 (Invalid),32 (Invalid),32 (Invalid),,1 (E_SKILL_TEKISEI_CATEGORY_FIRE),1 (Damage),2 (Affliction),5 (CostAttacking),0 (1 foe),2 (E_SKILL_ENABLE_SCENE_BATTLE),1,1,,230,100,100,98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,28,TRUE,TRUE,,,,3872,,,,,,,,,,,,,,FALSE,FALSE,,,sk_110,3 (E_SKILL_HIT_STAMP_TYPE_FIRE),470,6840,1 (E_SKILL_ICON_FIRE),13 (E_SKILL_TEKISEI_CATEGORY_INVALID),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,1 (Fire),23,,,,,,,
Maragi,9,15,1 (E_SKILL_TYPE_MAGIC_ATK),1 (Fire),32 (Invalid),32 (Invalid),32 (Invalid),,1 (E_SKILL_TEKISEI_CATEGORY_FIRE),1 (Damage),2 (Affliction),5 (CostAttacking),1 (all foes),2 (E_SKILL_ENABLE_SCENE_BATTLE),1,1,,95,100,100,98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,6,TRUE,TRUE,,,,499,,,,,,,,,,,,,,FALSE,FALSE,,,sk_104,3 (E_SKILL_HIT_STAMP_TYPE_FIRE),670,8180,1 (E_SKILL_ICON_FIRE),13 (E_SKILL_TEKISEI_CATEGORY_INVALID),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,1 (Fire),8,,,,,,,
Maragion,10,30,1 (E_SKILL_TYPE_MAGIC_ATK),1 (Fire),32 (Invalid),32 (Invalid),32 (Invalid),,1 (E_SKILL_TEKISEI_CATEGORY_FIRE),1 (Damage),2 (Affliction),5 (CostAttacking),1 (all foes),2 (E_SKILL_ENABLE_SCENE_BATTLE),1,1,,120,100,100,98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,14,TRUE,TRUE,,,,1635,,,,,,,,,,,,,,FALSE,FALSE,,,sk_105,3 (E_SKILL_HIT_STAMP_TYPE_FIRE),671,8420,1 (E_SKILL_ICON_FIRE),13 (E_SKILL_TEKISEI_CATEGORY_INVALID),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,1 (Fire),8,,,,,,,
Maragidyne,11,50,1 (E_SKILL_TYPE_MAGIC_ATK),1 (Fire),32 (Invalid),32 (Invalid),32 (Invalid),,1 (E_SKILL_TEKISEI_CATEGORY_FIRE),1 (Damage),2 (Affliction),5 (CostAttacking),1 (all foes),2 (E_SKILL_ENABLE_SCENE_BATTLE),1,1,,155,100,100,98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,21,TRUE,TRUE,,,,2918,,,,,,,,,,,,,,FALSE,FALSE,,,sk_106,3 (E_SKILL_HIT_STAMP_TYPE_FIRE),672,8630,1 (E_SKILL_ICON_FIRE),13 (E_SKILL_TEKISEI_CATEGORY_INVALID),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,1 (Fire),8,,,,,,,
Maragibarion,12,75,1 (E_SKILL_TYPE_MAGIC_ATK),1 (Fire),32 (Invalid),32 (Invalid),32 (Invalid),,1 (E_SKILL_TEKISEI_CATEGORY_FIRE),1 (Damage),2 (Affliction),5 (CostAttacking),1 (all foes),2 (E_SKILL_ENABLE_SCENE_BATTLE),1,1,,185,100,100,98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,26,TRUE,TRUE,,,,5161,,,,,,,,,,,,,,FALSE,FALSE,,,sk_107,3 (E_SKILL_HIT_STAMP_TYPE_FIRE),673,8780,1 (E_SKILL_ICON_FIRE),13 (E_SKILL_TEKISEI_CATEGORY_INVALID),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,1 (Fire),8,,,,,,,
Ragnarok,13,60,1 (E_SKILL_TYPE_MAGIC_ATK),1 (Fire),32 (Invalid),32 (Invalid),32 (Invalid),,1 (E_SKILL_TEKISEI_CATEGORY_FIRE),1 (Damage),2 (Affliction),5 (CostAttacking),6 (random foes),2 (E_SKILL_ENABLE_SCENE_BATTLE),2,5,,150,100,100,98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,27,TRUE,TRUE,,,,4608,,,,,,5 (E_OVERWRITE_CONDITION_CALC_ATTACK_CNT),,8 (E_OVERWRITE_FORMULA_MAX_ATTACK_CNT),2,,,,,FALSE,FALSE,,,sk_111,3 (E_SKILL_HIT_STAMP_TYPE_FIRE),751,7810,1 (E_SKILL_ICON_FIRE),13 (E_SKILL_TEKISEI_CATEGORY_INVALID),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,1 (Fire),6,,,,,,,
Fire Breath,14,25,1 (E_SKILL_TYPE_MAGIC_ATK),1 (Fire),32 (Invalid),32 (Invalid),32 (Invalid),,1 (E_SKILL_TEKISEI_CATEGORY_FIRE),1 (Damage),2 (Affliction),5 (CostAttacking),6 (random foes),2 (E_SKILL_ENABLE_SCENE_BATTLE),2,5,,100,100,100,98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,9,TRUE,TRUE,,,,1436,,,,,,5 (E_OVERWRITE_CONDITION_CALC_ATTACK_CNT),,8 (E_OVERWRITE_FORMULA_MAX_ATTACK_CNT),2,,,,,FALSE,FALSE,,,sk_108,3 (E_SKILL_HIT_STAMP_TYPE_FIRE),559,7270,1 (E_SKILL_ICON_FIRE),13 (E_SKILL_TEKISEI_CATEGORY_INVALID),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,1 (Fire),29,,,,,,,
NOT USED:SKILL_NAME_SKILL_ID_015,15,0,0 (E_SKILL_TYPE_PHYSICAL_ATK),0 (Physical),32 (Invalid),32 (Invalid),32 (Invalid),,0 (E_SKILL_TEKISEI_CATEGORY_PHISICS),1 (Damage),2 (Affliction),5 (CostAttacking),0 (1 foe),2 (E_SKILL_ENABLE_SCENE_BATTLE),1,1,,1,100,100,98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,0,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,0,0 (E_SKILL_HIT_STAMP_TYPE_NONE),999,99999,0 (E_SKILL_ICON_PHISICS),0 (E_SKILL_TEKISEI_CATEGORY_PHISICS),0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0 (Physical),,,,,,,,
Bufu,16,10,1 (E_SKILL_TYPE_MAGIC_ATK),2 (Ice),32 (Invalid),32 (Invalid),32 (Invalid),,2 (E_SKILL_TEKISEI_CATEGORY_ICE),1 (Damage),2 (Affliction),5 (CostAttacking),0 (1 foe),2 (E_SKILL_ENABLE_SCENE_BATTLE),1,1,,130,100,100,98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,1,TRUE,TRUE,,,,220,,,,,,,,,,,,,,FALSE,FALSE,,,sk_200,4 (E_SKILL_HIT_STAMP_TYPE_ICE),578,12030,2 (E_SKILL_ICON_ICE),13 (E_SKILL_TEKISEI_CATEGORY_INVALID),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,2 (Ice),8,,,,,,,
NOT USED:SKILL_NAME_SKILL_ID_017,17,0,0 (E_SKILL_TYPE_PHYSICAL_ATK),0 (Physical),32 (Invalid),32 (Invalid),32 (Invalid),,0 (E_SKILL_TEKISEI_CATEGORY_PHISICS),1 (Damage),2 (Affliction),5 (CostAttacking),0 (1 foe),2 (E_SKILL_ENABLE_SCENE_BATTLE),1,1,,1,100,100,98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,0,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,0,0 (E_SKILL_HIT_STAMP_TYPE_NONE),999,99999,0 (E_SKILL_ICON_PHISICS),0 (E_SKILL_TEKISEI_CATEGORY_PHISICS),0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0 (Physical),,,,,,,,
Bufula,18,20,1 (E_SKILL_TYPE_MAGIC_ATK),2 (Ice),32 (Invalid),32 (Invalid),32 (Invalid),,2 (E_SKILL_TEKISEI_CATEGORY_ICE),1 (Damage),2 (Affliction),5 (CostAttacking),0 (1 foe),2 (E_SKILL_ENABLE_SCENE_BATTLE),1,1,,160,100,100,98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,8,TRUE,TRUE,,,,578,,,,,,,,,,,,,,FALSE,FALSE,,,sk_201,4 (E_SKILL_HIT_STAMP_TYPE_ICE),580,12240,2 (E_SKILL_ICON_ICE),13 (E_SKILL_TEKISEI_CATEGORY_INVALID),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,2 (Ice),8,,,,,,,
NOT USED:SKILL_NAME_SKILL_ID_019,19,0,0 (E_SKILL_TYPE_PHYSICAL_ATK),0 (Physical),32 (Invalid),32 (Invalid),32 (Invalid),,0 (E_SKILL_TEKISEI_CATEGORY_PHISICS),1 (Damage),2 (Affliction),5 (CostAttacking),0 (1 foe),2 (E_SKILL_ENABLE_SCENE_BATTLE),1,1,,1,100,100,98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,0,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,0,0 (E_SKILL_HIT_STAMP_TYPE_NONE),999,99999,0 (E_SKILL_ICON_PHISICS),0 (E_SKILL_TEKISEI_CATEGORY_PHISICS),0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0 (Physical),,,,,,,,
Bufudyne,20,35,1 (E_SKILL_TYPE_MAGIC_ATK),2 (Ice),32 (Invalid),32 (Invalid),32 (Invalid),,2 (E_SKILL_TEKISEI_CATEGORY_ICE),1 (Damage),2 (Affliction),5 (CostAttacking),0 (1 foe),2 (E_SKILL_ENABLE_SCENE_BATTLE),1,1,,215,100,100,98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,18,TRUE,TRUE,,,,1800,,,,,,,,,,,,,,FALSE,FALSE,,,sk_202,4 (E_SKILL_HIT_STAMP_TYPE_ICE),581,12540,2 (E_SKILL_ICON_ICE),13 (E_SKILL_TEKISEI_CATEGORY_INVALID),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,2 (Ice),8,,,,,,,
NOT USED:SKILL_NAME_SKILL_ID_021,21,0,0 (E_SKILL_TYPE_PHYSICAL_ATK),0 (Physical),32 (Invalid),32 (Invalid),32 (Invalid),,0 (E_SKILL_TEKISEI_CATEGORY_PHISICS),1 (Damage),2 (Affliction),5 (CostAttacking),0 (1 foe),2 (E_SKILL_ENABLE_SCENE_BATTLE),1,1,,1,100,100,98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,0,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,0,0 (E_SKILL_HIT_STAMP_TYPE_NONE),999,99999,0 (E_SKILL_ICON_PHISICS),0 (E_SKILL_TEKISEI_CATEGORY_PHISICS),0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0 (Physical),,,,,,,,
Bufubarion,22,50,1 (E_SKILL_TYPE_MAGIC_ATK),2 (Ice),32 (Invalid),32 (Invalid),32 (Invalid),,2 (E_SKILL_TEKISEI_CATEGORY_ICE),1 (Damage),2 (Affliction),5 (CostAttacking),0 (1 foe),2 (E_SKILL_ENABLE_SCENE_BATTLE),1,1,,265,100,100,98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,24,TRUE,TRUE,,,,3698,,,,,,,,,,,,,,FALSE,FALSE,,,sk_203,4 (E_SKILL_HIT_STAMP_TYPE_ICE),582,12720,2 (E_SKILL_ICON_ICE),13 (E_SKILL_TEKISEI_CATEGORY_INVALID),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,2 (Ice),23,,,,,,,
Ice Age,23,65,1 (E_SKILL_TYPE_MAGIC_ATK),2 (Ice),32 (Invalid),32 (Invalid),32 (Invalid),,2 (E_SKILL_TEKISEI_CATEGORY_ICE),1 (Damage),2 (Affliction),5 (CostAttacking),0 (1 foe),2 (E_SKILL_ENABLE_SCENE_BATTLE),1,1,,230,100,100,98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,28,TRUE,TRUE,,,,3872,,,,,,,,,,,,,,FALSE,FALSE,,,sk_210,4 (E_SKILL_HIT_STAMP_TYPE_ICE),1,12840,2 (E_SKILL_ICON_ICE),13 (E_SKILL_TEKISEI_CATEGORY_INVALID),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,2 (Ice),23,,,,,,,
Mabufu,24,15,1 (E_SKILL_TYPE_MAGIC_ATK),2 (Ice),32 (Invalid),32 (Invalid),32 (Invalid),,2 (E_SKILL_TEKISEI_CATEGORY_ICE),1 (Damage),2 (Affliction),5 (CostAttacking),1 (all foes),2 (E_SKILL_ENABLE_SCENE_BATTLE),1,1,,95,100,100,98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,6,TRUE,TRUE,,,,499,,,,,,,,,,,,,,FALSE,FALSE,,,sk_204,4 (E_SKILL_HIT_STAMP_TYPE_ICE),663,14180,2 (E_SKILL_ICON_ICE),13 (E_SKILL_TEKISEI_CATEGORY_INVALID),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,2 (Ice),8,,,,,,,
Mabufula,25,30,1 (E_SKILL_TYPE_MAGIC_ATK),2 (Ice),32 (Invalid),32 (Invalid),32 (Invalid),,2 (E_SKILL_TEKISEI_CATEGORY_ICE),1 (Damage),2 (Affliction),5 (CostAttacking),1 (all foes),2 (E_SKILL_ENABLE_SCENE_BATTLE),1,1,,120,100,100,98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,14,TRUE,TRUE,,,,1635,,,,,,,,,,,,,,FALSE,FALSE,,,sk_205,4 (E_SKILL_HIT_STAMP_TYPE_ICE),664,14420,2 (E_SKILL_ICON_ICE),13 (E_SKILL_TEKISEI_CATEGORY_INVALID),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,2 (Ice),8,,,,,,,
Mabufudyne,26,50,1 (E_SKILL_TYPE_MAGIC_ATK),2 (Ice),32 (Invalid),32 (Invalid),32 (Invalid),,2 (E_SKILL_TEKISEI_CATEGORY_ICE),1 (Damage),2 (Affliction),5 (CostAttacking),1 (all foes),2 (E_SKILL_ENABLE_SCENE_BATTLE),1,1,,155,100,100,98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,21,TRUE,TRUE,,,,2918,,,,,,,,,,,,,,FALSE,FALSE,,,sk_206,4 (E_SKILL_HIT_STAMP_TYPE_ICE),665,14630,2 (E_SKILL_ICON_ICE),13 (E_SKILL_TEKISEI_CATEGORY_INVALID),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,2 (Ice),8,,,,,,,
Mabufubarion,27,75,1 (E_SKILL_TYPE_MAGIC_ATK),2 (Ice),32 (Invalid),32 (Invalid),32 (Invalid),,2 (E_SKILL_TEKISEI_CATEGORY_ICE),1 (Damage),2 (Affliction),5 (CostAttacking),1 (all foes),2 (E_SKILL_ENABLE_SCENE_BATTLE),1,1,,185,100,100,98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,26,TRUE,TRUE,,,,5161,,,,,,,,,,,,,,FALSE,FALSE,,,sk_207,4 (E_SKILL_HIT_STAMP_TYPE_ICE),666,14780,2 (E_SKILL_ICON_ICE),13 (E_SKILL_TEKISEI_CATEGORY_INVALID),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,2 (Ice),8,,,,,,,
