,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,ID,Name ID,Race,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Alignment  1,Alignment 2,Guest Character Identity,Guest Character Conditions?,Unknown,Level,Compendium,Unknown,Unknown,Unknown,Unknown,Basic Attack Hit,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,HP,MP,HP Growth,MP Growth,Strength,Vitality,Magic,Agility,Luck,Strength Growth,Vitality Growth,Magic Growth,Agility Growth,Luck Growth,Growth Total,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Guest Character,Unknown,Unknown,Unknown,Unknown,Compendium Cost Multiplier?,Unknown,Unknown,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8,Skill 9,Skill 10,Skill 11,Skill 12,Skill Level 1,Skill at Skill Level 1,Skill Level 2,Skill at Skill Level 2,Skill Level 3,Skill at Skill Level 3,Skill Level 4,Skill at Skill Level 4,Skill Level 5,Skill at Skill Level 5,Skill Level 6,Skill at Skill Level 6,Skill Level 7,Skill at Skill Level 7,Skill Level 8,Skill at Skill Level 8,Skill Level 9,Skill at Skill Level 9,Skill Level 10,Skill at Skill Level 10,Skill Level 11,Skill at Skill Level 11,Skill Level 12,Skill at Skill Level 12,Innate Skill,Phys,Fire,Ice,Elec,Force,Light,Dark,Almighty,Poison,Vertigo,Confusion,Charm,Sleep,Seal,Stray,Burn,Freeze,Shock,Laceration,Stone,Mirage,Mud,Recv00,Recv01,Recv02,Recv03,Recv04,Recv05,PotPhys,PotFire,PotIce,PotElec,PotForce,PotLight,PotDark,PotAlmighty,PotAilment,PotSupport,PotHeal,Recovery NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Jack Frost,10,58,10 (Deity),0,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,95,0,0,1,1,0,98,0,5,100,70,100,0,621,448,21,20,80,79,81,76,83,20,21,20,19,20,100,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,0
Mitra,11,11,10 (Deity),0,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,65,1,0,1,1,0,98,0,5,100,70,100,0,339,302,20,22,43,39,53,37,43,19,18,26,17,20,100,10,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_Hamaon (68),Skill_Mamudoon (65),Skill_Megidola (74),,,,,,,,,,66,422,67,150,68,136,,,,,,,,,,,,,,,,,,,Skill_RighteousSentence_PassivePart (685),100,100,125,100,100,Null (0),50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,-5,0,0,3,3,2,0,0,3,3,0,0,120,0,120,0
Atavaka,12,12,10 (Deity),1,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,54,1,0,1,1,0,98,0,5,100,70,100,0,328,201,23,19,48,42,41,26,25,26,23,22,14,15,100,10,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_FatalSword (184),Skill_WhiteDracostrike (245),Skill_Mamudoon (65),,,,,,,,,,55,503,56,71,57,435,,,,,,,,,,,,,,,,,,,Skill_FocusedAssault (656),100,100,125,100,100,Null (0),Null (0),100,100,100,100,100,100,125,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4,0,-5,0,0,2,2,0,0,0,0,0,0,0,120,0,120,0
Horus,13,13,10 (Deity),0,1,0,0,1,1,2 (Light),1 (Neutral),0,0,0,42,1,0,1,1,0,98,0,5,100,70,100,0,194,203,19,24,25,27,28,38,35,15,18,19,26,22,100,10,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_WhiteDracostrike (245),Skill_Mahamaon (71),Skill_Diarama (98),,,,,,,,,,43,123,44,73,45,440,,,,,,,,,,,,,,,,,,,Skill_EyeofHorus (543),100,50,100,50,125,Repel (999),125,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,3,-4,2,0,2,2,2,0,0,120,0,120,0
Thoth,14,14,10 (Deity),0,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,33,1,0,1,1,0,98,0,5,100,70,100,0,144,210,19,25,18,22,36,21,27,14,19,29,16,22,100,10,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_Hamaon (68),Skill_Megido (73),Skill_ManaSpring (439),,,,,,,,,,34,409,35,129,36,503,,,,,,,,,,,,,,,,,,,Skill_Trickery (630),100,Null (0),100,100,100,100,125,100,100,100,100,100,125,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,2,-3,1,0,3,0,0,0,0,120,0,120,0
Khonsu Ra,15,15,10 (Deity),0,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,78,1,0,1,1,0,98,0,5,100,70,100,0,434,413,21,25,49,50,72,54,55,13,18,28,20,21,100,10,1,1,1,45,44,0,0,0,0,0,0,195,2,0,0,100,4,0,Skill_HeliopolisDawn2 (858),Skill_Trisagion (8),Skill_Mahamabarion (72),,,,,,,,,,79,75,80,492,81,402,,,,,,,,,,,,,,,,,,,Skill_EyeofRa (541),100,Null (0),125,50,50,Drain (1000),100,100,100,100,100,100,100,Null (0),100,100,100,100,100,100,100,100,100,100,100,100,100,100,3,7,-5,0,0,5,0,3,0,0,0,0,0,0,120,0,120,0
Vishnu,16,16,10 (Deity),0,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,87,1,0,1,1,0,98,0,5,100,70,100,0,452,523,18,25,46,57,90,67,71,13,17,27,21,22,100,10,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_Mahamabarion (72),Skill_Mudobarion (63),Skill_Mamudobarion (66),Skill_Mediarahan (102),,,,,,,,,88,502,89,444,90,424,,,,,,,,,,,,,,,,,,,Skill_TripuraSamhara (607),Null (0),125,100,100,100,Repel (999),Null (0),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,-5,0,0,0,4,6,0,0,0,3,3,0,0,120,0,120,0
Baal,17,17,10 (Deity),0,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,93,1,0,1,1,0,98,0,5,100,70,100,0,578,476,22,22,74,76,98,65,67,19,20,26,17,18,100,10,3,1,1,5,0,0,0,0,0,0,0,190,2,0,0,100,4,0,Skill_Maragibarion (12),Skill_Ziobarion (37),Skill_Tentarafoo (90),Skill_Makarakarn (140),,,,,,,,,94,58,95,42,96,419,,,,,,,,,,,,,,,,,,,Skill_HammerofJudgment (679),100,50,125,Repel (999),50,Null (0),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,3,-5,5,2,3,0,0,4,0,-3,-3,0,0,120,0,120,0
Jack Frost,18,58,10 (Deity),0,1,0,0,0,1,1 (Neutral),1 (Neutral),0,0,0,1,0,0,1,1,0,98,0,5,100,70,100,0,30,69,18,25,3,4,6,5,5,13,16,28,21,22,100,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,0
Demeter,19,19,3 (Megami),0,1,0,0,0,1,2 (Light),4 (Law),0,0,0,76,1,0,1,1,0,98,0,5,100,70,100,0,377,450,18,25,27,40,69,53,65,11,15,28,20,26,100,10,7,0,0,57,0,0,0,0,0,0,0,213,2,0,0,100,4,0,Skill_EleusinianHarvest (281),Skill_Mazanbarion (57),Skill_Hamabarion (69),Skill_Diamrita (150),,,,,,,,,77,126,78,418,79,500,,,,,,,,,,,,,,,,,,,Skill_Thesmophoria (557),100,125,100,100,100,Null (0),Null (0),100,50,100,100,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,-5,0,0,3,1,0,0,0,3,4,4,0,0,120,0,120,0
Anahita,20,20,3 (Megami),0,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,29,1,0,1,1,0,98,0,5,100,70,100,0,141,199,21,24,14,24,32,22,22,13,23,29,17,18,100,10,2,1,1,59,10,0,0,0,0,0,0,174,2,0,0,100,4,0,Skill_HellishSpurt (262),Skill_Diarama (98),Skill_Rakunda (134),,,,,,,,,,30,439,31,129,32,68,,,,,,,,,,,,,,,,,,,Skill_GraceUntoService (676),100,125,Drain (1000),125,100,Null (0),100,100,100,100,50,100,100,100,100,100,100,100,100,100,50,100,100,100,100,100,100,100,0,-2,4,-6,0,2,0,0,0,1,2,2,0,0,120,0,120,0
Lakshmi,21,21,3 (Megami),0,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,70,1,0,1,1,0,98,0,5,100,70,100,0,363,373,19,25,30,41,65,44,51,13,18,28,19,22,100,10,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_Hamabarion (69),Skill_SexyDance (92),Skill_Mediarahan (102),Skill_ManaAid (432),,,,,,,,,71,126,72,52,73,468,,,,,,,,,,,,,,,,,,,Skill_Chanchala (612),100,100,100,125,50,Null (0),100,100,100,100,100,Null (0),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-4,0,0,-3,3,3,0,0,0,3,3,3,0,0,120,0,120,0
Norn,22,22,3 (Megami),0,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,67,1,0,1,1,0,98,0,5,100,70,100,0,358,321,19,22,39,40,59,34,49,18,18,27,15,22,100,10,7,1,1,10,0,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_Mediarama (101),Skill_LusterCandy (126),,,,,,,,,,,68,116,69,426,70,363,,,,,,,,,,,,,,,,,,,Skill_PlanckofNorn (544),100,100,100,125,100,50,Null (0),100,100,100,100,100,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,-4,0,1,0,0,0,3,4,4,0,0,120,0,120,0
Idun,23,23,3 (Megami),0,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,42,1,0,1,1,0,98,0,5,100,70,100,0,204,245,19,25,19,24,51,33,35,13,16,28,21,22,100,10,7,1,1,49,0,0,0,0,0,0,0,176,2,0,0,100,4,0,Skill_GoldenApple (276),Skill_Zanma (48),Skill_MarinKarin (91),,,,,,,,,,43,150,44,71,45,430,,,,,,,,,,,,,,,,,,,Skill_DemonicMediation (533),100,100,100,125,50,Null (0),100,100,100,100,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,2,2,-4,0,0,2,4,4,0,0,120,0,120,0
Sarasvati,24,24,3 (Megami),0,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,47,1,0,1,1,0,98,0,5,100,70,100,0,208,254,18,26,21,25,48,37,36,12,15,28,23,22,100,10,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_Bufudyne (20),Skill_Lullaby (84),Skill_DonumGladi (246),,,,,,,,,,48,135,49,25,50,90,,,,,,,,,,,,,,,,,,,Skill_VinaRaga (579),100,125,Null (0),100,100,100,125,100,100,100,50,Null (0),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,-4,3,0,0,0,0,0,2,2,0,0,0,0,120,0,120,0
Ishtar,25,25,24 (Lady),0,1,0,0,0,1,2 (Light),5 (Chaos),0,0,0,62,1,0,1,1,0,98,0,5,100,70,100,0,310,317,18,25,20,33,61,41,53,10,16,28,21,25,100,10,5,1,1,48,0,0,0,0,0,0,0,162,2,0,0,100,4,0,Skill_Ziodyne (35),Skill_Mahamaon (71),Skill_Mediarama (101),,,,,,,,,,63,149,64,137,65,422,,,,,,,,,,,,,,,,,,,Skill_CapriciousGoddess (667),100,100,100,Null (0),125,Null (0),125,100,100,100,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,2,0,3,-3,0,0,2,2,2,0,0,120,0,120,0
Scathach,26,26,3 (Megami),0,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,55,1,0,1,1,0,98,0,5,100,70,100,0,307,238,22,21,44,32,37,40,32,24,18,20,22,16,100,10,4,0,0,86,10,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_WindDracostrike (181),Skill_Mahamaon (71),Skill_Makajamaon (94),,,,,,,,,,56,150,57,189,58,475,,,,,,,,,,,,,,,,,,,Skill_WarriorTrainer (572),100,100,100,125,Null (0),50,100,100,100,100,100,100,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,-5,3,0,0,0,2,0,2,2,0,0,120,0,120,0
Parvati,27,27,3 (Megami),0,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,35,1,0,1,1,0,98,0,5,100,70,100,0,151,204,17,26,17,20,39,28,29,13,16,28,21,22,100,10,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_Media (100),Skill_Matarunda (129),Skill_BowlofHygieia (149),,,,,,,,,,36,499,37,18,38,70,,,,,,,,,,,,,,,,,,,Skill_LightGestalt (651),100,125,50,100,100,50,100,100,100,100,Null (0),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,-3,0,0,0,2,0,0,0,3,4,4,0,0,120,0,120,0
Ame-no-Uzume,28,28,3 (Megami),0,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,22,1,0,1,1,0,98,0,5,100,70,100,0,99,139,19,25,11,14,26,19,20,10,16,28,21,25,100,10,3,0,0,84,0,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_Zionga (33),Skill_Hama (67),Skill_Media (100),,,,,,,,,,23,118,24,39,25,425,,,,,,,,,,,,,,,,,,,Skill_CuriousDance (539),100,100,100,Null (0),125,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-3,0,0,2,-3,2,0,0,0,2,1,1,0,0,120,0,120,0
Fortuna,29,29,3 (Megami),0,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,15,1,0,1,1,0,98,0,5,100,70,100,0,75,114,21,23,8,10,21,14,18,11,16,30,21,22,100,10,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_Zan (46),Skill_Dia (97),Skill_LifeSpring (437),,,,,,,,,,16,67,17,134,,,,,,,,,,,,,,,,,,,,,Skill_ForceGestalt (650),100,100,100,125,Null (0),100,125,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,0,0,-3,3,1,-3,0,0,1,2,2,0,0,120,0,120,0
Maria,30,30,3 (Megami),0,1,0,0,0,1,2 (Light),4 (Law),0,0,0,83,1,0,1,1,0,98,0,5,100,70,100,0,424,485,18,26,34,46,80,61,74,11,16,27,21,25,100,10,7,0,0,60,87,0,0,0,0,0,0,196,2,0,0,100,4,0,Skill_FloralGust (58),Skill_Mahamabarion (72),Skill_Diamrita (150),Skill_Samarecarm (116),,,,,,,,,84,500,85,102,86,126,,,,,,,,,,,,,,,,,,,Skill_ImpenetrablePurity (691),100,100,100,125,Drain (1000),Null (0),50,100,100,100,100,100,Null (0),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-3,0,0,-5,4,4,-5,0,0,2,4,4,0,0,120,0,120,0
Artemis,31,31,3 (Megami),0,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,37,1,0,1,1,0,98,0,5,100,70,100,0,211,189,22,21,36,24,31,28,23,26,15,20,19,20,100,10,10,1,1,51,0,0,0,0,0,0,0,202,2,0,0,100,4,0,Skill_AstralSaintstrike (328),Skill_Headcrush (304),Skill_Somersault (305),Skill_Matarukaja (119),,,,,,,,,38,25,39,84,41,35,,,,,,,,,,,,,,,,,,,Skill_ImpenetrablePurity (691),100,125,Null (0),Null (0),100,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,5,-4,3,3,0,0,0,0,1,2,0,0,0,0,120,0,120,0
Konohana Sakuya,32,32,27 (Kunitsu),0,1,0,0,0,1,2 (Light),5 (Chaos),0,0,0,50,1,0,1,1,0,98,0,5,100,70,100,0,253,303,20,25,20,37,48,33,38,10,22,28,19,21,100,10,8,1,1,111,0,0,0,0,0,0,0,244,30,0,0,100,4,0,Skill_SakuyaSakura (855),Skill_Agidyne (5),Skill_HealPleroma (499),Skill_BowlofHygieia (149),,,,,,,,,51,440,52,50,53,11,,,,,,,,,,,,,,,,,,,Skill_OathofPlenteousness (708),100,Repel (999),100,125,Null (0),100,100,100,100,100,50,50,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-3,4,0,-3,2,0,0,0,0,3,4,4,0,0,120,0,120,0
Jack Frost,33,58,3 (Megami),0,1,0,0,0,1,1 (Neutral),1 (Neutral),0,0,0,1,0,0,1,1,0,98,0,5,100,70,100,0,38,50,23,18,6,5,3,4,4,28,23,14,18,17,100,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,0
Hanuman,34,34,14 (Genma),1,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,46,1,0,1,1,0,98,0,5,100,70,100,0,267,169,24,18,44,36,22,32,28,28,23,14,18,17,100,10,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_PurpleSmoke (176),Skill_WindDracostrike (181),,,,,,,,,,,47,133,48,431,49,139,,,,,,,,,,,,,,,,,,,Skill_Forager (532),100,100,100,125,Repel (999),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,125,100,100,100,100,100,100,100,3,0,0,-5,2,0,0,0,0,1,0,0,0,0,67,80,141,147
Fionn mac Cumhaill,35,35,14 (Genma),1,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,71,1,0,1,1,0,98,0,5,100,70,100,0,437,325,22,22,58,47,52,52,37,24,21,23,19,13,100,10,10,1,1,38,0,0,0,0,0,0,0,179,2,0,0,100,4,0,Skill_MacanLuin (227),Skill_HadesBlast (163),Skill_Agibarion (7),Skill_Riberama (929),,,,,,,,,72,444,73,22,75,410,,,,,,,,,,,,,,,,,,,Skill_HealingHand (665),100,Null (0),100,125,100,Null (0),100,100,100,100,100,100,Null (0),Null (0),100,100,100,100,100,100,100,100,100,100,100,100,100,100,5,4,3,-6,0,0,0,0,0,0,0,0,0,0,120,0,120,0
